date,day_of_week,day_name,day_of_month,month,month_name,is_weekend,is_payday_window
2026-07-05,6,Sunday,5,7,July,True,False
2026-07-06,0,Monday,6,7,July,False,False
2026-07-07,1,Tuesday,7,7,July,False,False
2026-07-08,2,Wednesday,8,7,July,False,False
2026-07-09,3,Thursday,9,7,July,False,False
2026-07-10,4,Friday,10,7,July,False,False
2026-07-11,5,Saturday,11,7,July,True,False
2026-07-12,6,Sunday,12,7,July,True,False
2026-07-13,0,Monday,13,7,July,False,True
2026-07-14,1,Tuesday,14,7,July,False,True
2026-07-15,2,Wednesday,15,7,July,False,True
2026-07-16,3,Thursday,16,7,July,False,True
2026-07-17,4,Friday,17,7,July,False,False
2026-07-18,5,Saturday,18,7,July,True,False
2026-07-19,6,Sunday,19,7,July,True,False
2026-07-20,0,Monday,20,7,July,False,False
2026-07-21,1,Tuesday,21,7,July,False,False
2026-07-22,2,Wednesday,22,7,July,False,False
2026-07-23,3,Thursday,23,7,July,False,False
2026-07-24,4,Friday,24,7,July,False,False
2026-07-25,5,Saturday,25,7,July,True,False
2026-07-26,6,Sunday,26,7,July,True,False
2026-07-27,0,Monday,27,7,July,False,True
2026-07-28,1,Tuesday,28,7,July,False,True
2026-07-29,2,Wednesday,29,7,July,False,True
2026-07-30,3,Thursday,30,7,July,False,True
2026-07-31,4,Friday,31,7,July,False,True
2026-08-01,5,Saturday,1,8,August,True,False
2026-08-02,6,Sunday,2,8,August,True,False
2026-08-03,0,Monday,3,8,August,False,False
2026-08-04,1,Tuesday,4,8,August,False,False
2026-08-05,2,Wednesday,5,8,August,False,False
2026-08-06,3,Thursday,6,8,August,False,False
2026-08-07,4,Friday,7,8,August,False,False
2026-08-08,5,Saturday,8,8,August,True,False
2026-08-09,6,Sunday,9,8,August,True,False
2026-08-10,0,Monday,10,8,August,False,False
2026-08-11,1,Tuesday,11,8,August,False,False
2026-08-12,2,Wednesday,12,8,August,False,False
2026-08-13,3,Thursday,13,8,August,False,True
2026-08-14,4,Friday,14,8,August,False,True
2026-08-15,5,Saturday,15,8,August,True,True
2026-08-16,6,Sunday,16,8,August,True,True
2026-08-17,0,Monday,17,8,August,False,False
2026-08-18,1,Tuesday,18,8,August,False,False
2026-08-19,2,Wednesday,19,8,August,False,False
2026-08-20,3,Thursday,20,8,August,False,False
2026-08-21,4,Friday,21,8,August,False,False
2026-08-22,5,Saturday,22,8,August,True,False
2026-08-23,6,Sunday,23,8,August,True,False
2026-08-24,0,Monday,24,8,August,False,False
2026-08-25,1,Tuesday,25,8,August,False,False
2026-08-26,2,Wednesday,26,8,August,False,False
2026-08-27,3,Thursday,27,8,August,False,True
