transaction_id,timestamp,store_id,product_id,qty,unit_price,discount,channel
T00038-P001,2026-04-07,STORE-001,P001,28.0,8.0,0.0,IN_STORE
T00039-P001,2026-04-08,STORE-001,P001,31.0,8.0,0.0,IN_STORE
T00040-P001,2026-04-09,STORE-001,P001,38.0,8.0,0.0,IN_STORE
T00041-P001,2026-04-10,STORE-001,P001,43.0,8.0,0.0,IN_STORE
T00042-P001,2026-04-11,STORE-001,P001,46.0,8.0,0.0,IN_STORE
T00043-P001,2026-04-12,STORE-001,P001,41.0,8.0,0.0,IN_STORE
T00044-P001,2026-04-13,STORE-001,P001,38.0,8.0,0.0,IN_STORE
T00045-P001,2026-04-14,STORE-001,P001,33.0,8.0,0.0,IN_STORE
T00046-P001,2026-04-15,STORE-001,P001,38.0,8.0,0.0,IN_STORE
T00047-P001,2026-04-16,STORE-001,P001,40.0,8.0,0.0,IN_STORE
T00048-P001,2026-04-17,STORE-001,P001,45.0,8.0,0.0,IN_STORE
T00049-P001,2026-04-18,STORE-001,P001,47.0,8.0,0.0,IN_STORE
T00050-P001,2026-04-19,STORE-001,P001,35.0,8.0,0.0,IN_STORE
T00051-P001,2026-04-20,STORE-001,P001,37.0,8.0,0.0,IN_STORE
T00052-P001,2026-04-21,STORE-001,P001,34.0,8.0,0.0,IN_STORE
T00053-P001,2026-04-22,STORE-001,P001,34.0,8.0,0.0,IN_STORE
T00054-P001,2026-04-23,STORE-001,P001,40.0,8.0,0.0,IN_STORE
T00055-P001,2026-04-24,STORE-001,P001,45.0,8.0,0.0,IN_STORE
T00056-P001,2026-04-25,STORE-001,P001,51.0,8.0,0.0,IN_STORE
T00057-P001,2026-04-26,STORE-001,P001,39.0,8.0,0.0,IN_STORE
T00058-P001,2026-04-27,STORE-001,P001,39.0,8.0,0.0,IN_STORE
T00059-P001,2026-04-28,STORE-001,P001,41.0,8.0,0.0,IN_STORE
T00060-P001,2026-04-29,STORE-001,P001,45.0,8.0,0.0,IN_STORE
T00061-P001,2026-04-30,STORE-001,P001,41.0,8.0,0.0,IN_STORE
T00062-P001,2026-05-01,STORE-001,P001,53.0,8.0,0.0,IN_STORE
T00063-P001,2026-05-02,STORE-001,P001,42.0,8.0,0.0,IN_STORE
T00064-P001,2026-05-03,STORE-001,P001,38.0,8.0,0.0,IN_STORE
T00065-P001,2026-05-04,STORE-001,P001,39.0,8.0,0.0,IN_STORE
T00066-P001,2026-05-05,STORE-001,P001,41.0,8.0,0.0,IN_STORE
T00067-P001,2026-05-06,STORE-001,P001,37.0,8.0,0.0,IN_STORE
T00068-P001,2026-05-07,STORE-001,P001,42.0,8.0,0.0,IN_STORE
T00069-P001,2026-05-08,STORE-001,P001,43.0,8.0,0.0,IN_STORE
T00070-P001,2026-05-09,STORE-001,P001,44.0,8.0,0.0,IN_STORE
T00071-P001,2026-05-10,STORE-001,P001,45.0,8.0,0.0,IN_STORE
T00072-P001,2026-05-11,STORE-001,P001,42.0,8.0,0.0,IN_STORE
T00073-P001,2026-05-12,STORE-001,P001,36.0,8.0,0.0,IN_STORE
T00074-P001,2026-05-13,STORE-001,P001,49.0,8.0,0.0,IN_STORE
T00075-P001,2026-05-14,STORE-001,P001,32.0,8.0,0.0,IN_STORE
T00076-P001,2026-05-15,STORE-001,P001,51.0,8.0,0.0,IN_STORE
T00077-P001,2026-05-16,STORE-001,P001,54.0,8.0,0.0,IN_STORE
T00078-P001,2026-05-17,STORE-001,P001,42.0,8.0,0.0,IN_STORE
T00079-P001,2026-05-18,STORE-001,P001,37.0,8.0,0.0,IN_STORE
T00080-P001,2026-05-19,STORE-001,P001,29.0,8.0,0.0,IN_STORE
T00081-P001,2026-05-20,STORE-001,P001,37.0,8.0,0.0,IN_STORE
T00082-P001,2026-05-21,STORE-001,P001,41.0,8.0,0.0,IN_STORE
T00083-P001,2026-05-22,STORE-001,P001,49.0,8.0,0.0,IN_STORE
T00084-P001,2026-05-23,STORE-001,P001,46.0,8.0,0.0,IN_STORE
T00085-P001,2026-05-24,STORE-001,P001,41.0,8.0,0.0,IN_STORE
T00086-P001,2026-05-25,STORE-001,P001,36.0,8.0,0.0,IN_STORE
T00087-P001,2026-05-26,STORE-001,P001,40.0,8.0,0.0,IN_STORE
T00088-P001,2026-05-27,STORE-001,P001,44.0,8.0,0.0,IN_STORE
T00089-P001,2026-05-28,STORE-001,P001,42.0,8.0,0.0,IN_STORE
T00090-P001,2026-05-29,STORE-001,P001,50.0,8.0,0.0,IN_STORE
T00091-P001,2026-05-30,STORE-001,P001,55.0,8.0,0.0,IN_STORE
T00092-P001,2026-05-31,STORE-001,P001,55.0,8.0,0.0,IN_STORE
T00093-P001,2026-06-01,STORE-001,P001,35.0,8.0,0.0,IN_STORE
T00094-P001,2026-06-02,STORE-001,P001,36.0,8.0,0.0,IN_STORE
T00095-P001,2026-06-03,STORE-001,P001,37.0,8.0,0.0,IN_STORE
T00096-P001,2026-06-04,STORE-001,P001,34.0,8.0,0.0,IN_STORE
T00097-P001,2026-06-05,STORE-001,P001,45.0,8.0,0.0,IN_STORE
T00098-P001,2026-06-06,STORE-001,P001,50.0,8.0,0.0,IN_STORE
T00099-P001,2026-06-07,STORE-001,P001,45.0,8.0,0.0,IN_STORE
T00100-P001,2026-06-08,STORE-001,P001,37.0,8.0,0.0,IN_STORE
T00101-P001,2026-06-09,STORE-001,P001,32.0,8.0,0.0,IN_STORE
T00102-P001,2026-06-10,STORE-001,P001,37.0,8.0,0.0,IN_STORE
T00103-P001,2026-06-11,STORE-001,P001,39.0,8.0,0.0,IN_STORE
T00104-P001,2026-06-12,STORE-001,P001,40.0,8.0,0.0,IN_STORE
T00105-P001,2026-06-13,STORE-001,P001,54.0,8.0,0.0,IN_STORE
T00106-P001,2026-06-14,STORE-001,P001,53.0,8.0,0.0,IN_STORE
T00107-P001,2026-06-15,STORE-001,P001,51.0,8.0,0.0,IN_STORE
T00108-P001,2026-06-16,STORE-001,P001,55.0,8.0,0.0,IN_STORE
T00109-P001,2026-06-17,STORE-001,P001,40.0,8.0,0.0,IN_STORE
T00110-P001,2026-06-18,STORE-001,P001,40.0,8.0,0.0,IN_STORE
T00111-P001,2026-06-19,STORE-001,P001,36.0,8.0,0.0,IN_STORE
T00112-P001,2026-06-20,STORE-001,P001,50.0,8.0,0.0,IN_STORE
T00113-P001,2026-06-21,STORE-001,P001,46.0,8.0,0.0,IN_STORE
T00114-P001,2026-06-22,STORE-001,P001,48.0,8.0,0.0,IN_STORE
T00115-P001,2026-06-23,STORE-001,P001,37.0,8.0,0.0,IN_STORE
T00116-P001,2026-06-24,STORE-001,P001,41.0,8.0,0.0,IN_STORE
T00117-P001,2026-06-25,STORE-001,P001,41.0,8.0,0.0,IN_STORE
T00118-P001,2026-06-26,STORE-001,P001,39.0,8.0,0.0,IN_STORE
T00119-P001,2026-06-27,STORE-001,P001,63.0,8.0,0.0,IN_STORE
T00120-P001,2026-06-28,STORE-001,P001,56.0,8.0,0.0,IN_STORE
T00121-P001,2026-06-29,STORE-001,P001,47.0,8.0,0.0,IN_STORE
T00122-P001,2026-06-30,STORE-001,P001,39.0,8.0,0.0,IN_STORE
T00123-P001,2026-07-01,STORE-001,P001,46.0,8.0,0.0,IN_STORE
T00124-P001,2026-07-02,STORE-001,P001,36.0,8.0,0.0,IN_STORE
T00125-P001,2026-07-03,STORE-001,P001,47.0,8.0,0.0,IN_STORE
T00126-P001,2026-07-04,STORE-001,P001,62.0,8.0,0.0,IN_STORE
T00127-P001,2026-07-05,STORE-001,P001,42.0,8.0,0.0,IN_STORE
T00128-P001,2026-07-06,STORE-001,P001,37.0,8.0,0.0,IN_STORE
T00129-P001,2026-07-07,STORE-001,P001,39.0,8.0,0.0,IN_STORE
T00130-P001,2026-07-08,STORE-001,P001,38.0,8.0,0.0,IN_STORE
T00131-P001,2026-07-09,STORE-001,P001,35.0,8.0,0.0,IN_STORE
T00132-P001,2026-07-10,STORE-001,P001,46.0,8.0,0.0,IN_STORE
T00133-P001,2026-07-11,STORE-001,P001,46.0,8.0,0.0,IN_STORE
T00134-P001,2026-07-12,STORE-001,P001,49.0,8.0,0.0,IN_STORE
T00135-P001,2026-07-13,STORE-001,P001,41.0,8.0,0.0,IN_STORE
T00136-P001,2026-07-14,STORE-001,P001,51.0,8.0,0.0,IN_STORE
T00137-P001,2026-07-15,STORE-001,P001,42.0,8.0,0.0,IN_STORE
T00138-P001,2026-07-16,STORE-001,P001,57.0,6.8,15.0,IN_STORE
T00139-P001,2026-07-17,STORE-001,P001,61.0,6.8,15.0,IN_STORE
T00140-P001,2026-07-18,STORE-001,P001,77.0,6.8,15.0,IN_STORE
T00141-P001,2026-07-19,STORE-001,P001,60.0,6.8,15.0,IN_STORE
T00142-P001,2026-07-20,STORE-001,P001,46.0,8.0,0.0,IN_STORE
T00143-P001,2026-07-21,STORE-001,P001,33.0,8.0,0.0,IN_STORE
T00144-P001,2026-07-22,STORE-001,P001,42.0,8.0,0.0,IN_STORE
T00145-P001,2026-07-23,STORE-001,P001,44.0,8.0,0.0,IN_STORE
T00146-P001,2026-07-24,STORE-001,P001,50.0,8.0,0.0,IN_STORE
T00147-P001,2026-07-25,STORE-001,P001,46.0,8.0,0.0,IN_STORE
T00148-P001,2026-07-26,STORE-001,P001,42.0,8.0,0.0,IN_STORE
T00149-P001,2026-07-27,STORE-001,P001,48.0,8.0,0.0,IN_STORE
T00150-P001,2026-07-28,STORE-001,P001,46.0,8.0,0.0,IN_STORE
T00151-P001,2026-07-29,STORE-001,P001,48.0,8.0,0.0,IN_STORE
T00152-P001,2026-07-30,STORE-001,P001,50.0,8.0,0.0,IN_STORE
T00153-P001,2026-07-31,STORE-001,P001,48.0,8.0,0.0,IN_STORE
T00154-P001,2026-08-01,STORE-001,P001,54.0,8.0,0.0,IN_STORE
T00155-P001,2026-08-02,STORE-001,P001,50.0,8.0,0.0,IN_STORE
T00156-P001,2026-08-03,STORE-001,P001,38.0,8.0,0.0,IN_STORE
T00157-P001,2026-08-04,STORE-001,P001,48.0,8.0,0.0,IN_STORE
T00158-P001,2026-08-05,STORE-001,P001,44.0,8.0,0.0,IN_STORE
T00159-P001,2026-08-06,STORE-001,P001,38.0,8.0,0.0,IN_STORE
T00160-P001,2026-08-07,STORE-001,P001,50.0,8.0,0.0,IN_STORE
T00161-P001,2026-08-08,STORE-001,P001,48.0,8.0,0.0,IN_STORE
T00162-P001,2026-08-09,STORE-001,P001,65.0,8.0,0.0,IN_STORE
T00163-P001,2026-08-10,STORE-001,P001,46.0,8.0,0.0,IN_STORE
T00164-P001,2026-08-11,STORE-001,P001,37.0,8.0,0.0,IN_STORE
T00165-P001,2026-08-12,STORE-001,P001,46.0,8.0,0.0,IN_STORE
T00166-P001,2026-08-13,STORE-001,P001,51.0,8.0,0.0,IN_STORE
T00167-P001,2026-08-14,STORE-001,P001,57.0,8.0,0.0,IN_STORE
T00168-P001,2026-08-15,STORE-001,P001,71.0,8.0,0.0,IN_STORE
T00169-P001,2026-08-16,STORE-001,P001,54.0,8.0,0.0,IN_STORE
T00170-P001,2026-08-17,STORE-001,P001,39.0,8.0,0.0,IN_STORE
T00171-P001,2026-08-18,STORE-001,P001,37.0,8.0,0.0,IN_STORE
T00172-P001,2026-08-19,STORE-001,P001,39.0,8.0,0.0,IN_STORE
T00173-P001,2026-08-20,STORE-001,P001,44.0,8.0,0.0,IN_STORE
T00174-P001,2026-08-21,STORE-001,P001,49.0,8.0,0.0,IN_STORE
T00175-P001,2026-08-22,STORE-001,P001,78.0,8.0,0.0,IN_STORE
T00176-P001,2026-08-23,STORE-001,P001,54.0,8.0,0.0,IN_STORE
T00177-P001,2026-08-24,STORE-001,P001,42.0,8.0,0.0,IN_STORE
T00178-P001,2026-08-25,STORE-001,P001,47.0,8.0,0.0,IN_STORE
T00179-P001,2026-08-26,STORE-001,P001,42.0,8.0,0.0,IN_STORE
T00180-P001,2026-08-27,STORE-001,P001,63.0,8.0,0.0,IN_STORE
T00001-P002,2026-03-01,STORE-001,P002,26.0,18.0,0.0,IN_STORE
T00002-P002,2026-03-02,STORE-001,P002,19.0,18.0,0.0,IN_STORE
T00003-P002,2026-03-03,STORE-001,P002,18.0,18.0,0.0,IN_STORE
T00004-P002,2026-03-04,STORE-001,P002,22.0,18.0,0.0,IN_STORE
T00005-P002,2026-03-05,STORE-001,P002,22.0,18.0,0.0,IN_STORE
T00006-P002,2026-03-06,STORE-001,P002,26.0,18.0,0.0,IN_STORE
T00007-P002,2026-03-07,STORE-001,P002,28.0,18.0,0.0,IN_STORE
T00008-P002,2026-03-08,STORE-001,P002,25.0,18.0,0.0,IN_STORE
T00009-P002,2026-03-09,STORE-001,P002,19.0,18.0,0.0,IN_STORE
T00010-P002,2026-03-10,STORE-001,P002,18.0,18.0,0.0,IN_STORE
T00011-P002,2026-03-11,STORE-001,P002,21.0,18.0,0.0,IN_STORE
T00012-P002,2026-03-12,STORE-001,P002,24.0,18.0,0.0,IN_STORE
T00013-P002,2026-03-13,STORE-001,P002,28.0,18.0,0.0,IN_STORE
T00014-P002,2026-03-14,STORE-001,P002,27.0,18.0,0.0,IN_STORE
T00015-P002,2026-03-15,STORE-001,P002,29.0,18.0,0.0,IN_STORE
T00016-P002,2026-03-16,STORE-001,P002,25.0,18.0,0.0,IN_STORE
T00017-P002,2026-03-17,STORE-001,P002,19.0,18.0,0.0,IN_STORE
T00018-P002,2026-03-18,STORE-001,P002,22.0,18.0,0.0,IN_STORE
T00019-P002,2026-03-19,STORE-001,P002,23.0,18.0,0.0,IN_STORE
T00020-P002,2026-03-20,STORE-001,P002,22.0,18.0,0.0,IN_STORE
T00021-P002,2026-03-21,STORE-001,P002,36.0,18.0,0.0,IN_STORE
T00022-P002,2026-03-22,STORE-001,P002,27.0,18.0,0.0,IN_STORE
T00023-P002,2026-03-23,STORE-001,P002,24.0,18.0,0.0,IN_STORE
T00024-P002,2026-03-24,STORE-001,P002,23.0,18.0,0.0,IN_STORE
T00025-P002,2026-03-25,STORE-001,P002,19.0,18.0,0.0,IN_STORE
T00026-P002,2026-03-26,STORE-001,P002,21.0,18.0,0.0,IN_STORE
T00027-P002,2026-03-27,STORE-001,P002,29.0,18.0,0.0,IN_STORE
T00028-P002,2026-03-28,STORE-001,P002,33.0,18.0,0.0,IN_STORE
T00029-P002,2026-03-29,STORE-001,P002,30.0,18.0,0.0,IN_STORE
T00030-P002,2026-03-30,STORE-001,P002,34.0,18.0,0.0,IN_STORE
T00031-P002,2026-03-31,STORE-001,P002,25.0,18.0,0.0,IN_STORE
T00032-P002,2026-04-01,STORE-001,P002,31.0,15.3,15.0,IN_STORE
T00033-P002,2026-04-02,STORE-001,P002,31.0,15.3,15.0,IN_STORE
T00034-P002,2026-04-03,STORE-001,P002,44.0,15.3,15.0,IN_STORE
T00035-P002,2026-04-04,STORE-001,P002,34.0,15.3,15.0,IN_STORE
T00036-P002,2026-04-05,STORE-001,P002,35.0,15.3,15.0,IN_STORE
T00037-P002,2026-04-06,STORE-001,P002,20.0,18.0,0.0,IN_STORE
T00038-P002,2026-04-07,STORE-001,P002,21.0,18.0,0.0,IN_STORE
T00039-P002,2026-04-08,STORE-001,P002,21.0,18.0,0.0,IN_STORE
T00040-P002,2026-04-09,STORE-001,P002,23.0,18.0,0.0,IN_STORE
T00041-P002,2026-04-10,STORE-001,P002,31.0,18.0,0.0,IN_STORE
T00042-P002,2026-04-11,STORE-001,P002,23.0,18.0,0.0,IN_STORE
T00043-P002,2026-04-12,STORE-001,P002,28.0,18.0,0.0,IN_STORE
T00044-P002,2026-04-13,STORE-001,P002,21.0,18.0,0.0,IN_STORE
T00045-P002,2026-04-14,STORE-001,P002,23.0,18.0,0.0,IN_STORE
T00046-P002,2026-04-15,STORE-001,P002,28.0,18.0,0.0,IN_STORE
T00047-P002,2026-04-16,STORE-001,P002,27.0,18.0,0.0,IN_STORE
T00048-P002,2026-04-17,STORE-001,P002,23.0,18.0,0.0,IN_STORE
T00049-P002,2026-04-18,STORE-001,P002,27.0,18.0,0.0,IN_STORE
T00050-P002,2026-04-19,STORE-001,P002,28.0,18.0,0.0,IN_STORE
T00051-P002,2026-04-20,STORE-001,P002,21.0,18.0,0.0,IN_STORE
T00052-P002,2026-04-21,STORE-001,P002,23.0,18.0,0.0,IN_STORE
T00053-P002,2026-04-22,STORE-001,P002,23.0,18.0,0.0,IN_STORE
T00054-P002,2026-04-23,STORE-001,P002,22.0,18.0,0.0,IN_STORE
T00055-P002,2026-04-24,STORE-001,P002,31.0,18.0,0.0,IN_STORE
T00056-P002,2026-04-25,STORE-001,P002,31.0,18.0,0.0,IN_STORE
T00057-P002,2026-04-26,STORE-001,P002,21.0,18.0,0.0,IN_STORE
T00058-P002,2026-04-27,STORE-001,P002,26.0,18.0,0.0,IN_STORE
T00059-P002,2026-04-28,STORE-001,P002,23.0,18.0,0.0,IN_STORE
T00060-P002,2026-04-29,STORE-001,P002,28.0,18.0,0.0,IN_STORE
T00061-P002,2026-04-30,STORE-001,P002,25.0,18.0,0.0,IN_STORE
T00062-P002,2026-05-01,STORE-001,P002,33.0,18.0,0.0,IN_STORE
T00063-P002,2026-05-02,STORE-001,P002,31.0,18.0,0.0,IN_STORE
T00064-P002,2026-05-03,STORE-001,P002,29.0,18.0,0.0,IN_STORE
T00065-P002,2026-05-04,STORE-001,P002,20.0,18.0,0.0,IN_STORE
T00066-P002,2026-05-05,STORE-001,P002,22.0,18.0,0.0,IN_STORE
T00067-P002,2026-05-06,STORE-001,P002,22.0,18.0,0.0,IN_STORE
T00068-P002,2026-05-07,STORE-001,P002,23.0,18.0,0.0,IN_STORE
T00069-P002,2026-05-08,STORE-001,P002,31.0,18.0,0.0,IN_STORE
T00070-P002,2026-05-09,STORE-001,P002,31.0,18.0,0.0,IN_STORE
T00071-P002,2026-05-10,STORE-001,P002,24.0,18.0,0.0,IN_STORE
T00072-P002,2026-05-11,STORE-001,P002,25.0,18.0,0.0,IN_STORE
T00073-P002,2026-05-12,STORE-001,P002,27.0,18.0,0.0,IN_STORE
T00074-P002,2026-05-13,STORE-001,P002,29.0,18.0,0.0,IN_STORE
T00075-P002,2026-05-14,STORE-001,P002,23.0,18.0,0.0,IN_STORE
T00076-P002,2026-05-15,STORE-001,P002,28.0,18.0,0.0,IN_STORE
T00077-P002,2026-05-16,STORE-001,P002,38.0,18.0,0.0,IN_STORE
T00078-P002,2026-05-17,STORE-001,P002,26.0,18.0,0.0,IN_STORE
T00079-P002,2026-05-18,STORE-001,P002,24.0,18.0,0.0,IN_STORE
T00080-P002,2026-05-19,STORE-001,P002,25.0,18.0,0.0,IN_STORE
T00081-P002,2026-05-20,STORE-001,P002,22.0,18.0,0.0,IN_STORE
T00082-P002,2026-05-21,STORE-001,P002,25.0,18.0,0.0,IN_STORE
T00083-P002,2026-05-22,STORE-001,P002,18.0,18.0,0.0,IN_STORE
T00084-P002,2026-05-23,STORE-001,P002,27.0,18.0,0.0,IN_STORE
T00085-P002,2026-05-24,STORE-001,P002,27.0,18.0,0.0,IN_STORE
T00086-P002,2026-05-25,STORE-001,P002,21.0,18.0,0.0,IN_STORE
T00087-P002,2026-05-26,STORE-001,P002,27.0,18.0,0.0,IN_STORE
T00088-P002,2026-05-27,STORE-001,P002,23.0,18.0,0.0,IN_STORE
T00089-P002,2026-05-28,STORE-001,P002,27.0,18.0,0.0,IN_STORE
T00090-P002,2026-05-29,STORE-001,P002,31.0,18.0,0.0,IN_STORE
T00091-P002,2026-05-30,STORE-001,P002,39.0,18.0,0.0,IN_STORE
T00092-P002,2026-05-31,STORE-001,P002,27.0,18.0,0.0,IN_STORE
T00093-P002,2026-06-01,STORE-001,P002,27.0,18.0,0.0,IN_STORE
T00094-P002,2026-06-02,STORE-001,P002,23.0,18.0,0.0,IN_STORE
T00095-P002,2026-06-03,STORE-001,P002,22.0,18.0,0.0,IN_STORE
T00096-P002,2026-06-04,STORE-001,P002,26.0,18.0,0.0,IN_STORE
T00097-P002,2026-06-05,STORE-001,P002,28.0,18.0,0.0,IN_STORE
T00098-P002,2026-06-06,STORE-001,P002,29.0,18.0,0.0,IN_STORE
T00099-P002,2026-06-07,STORE-001,P002,28.0,18.0,0.0,IN_STORE
T00100-P002,2026-06-08,STORE-001,P002,23.0,18.0,0.0,IN_STORE
T00101-P002,2026-06-09,STORE-001,P002,24.0,18.0,0.0,IN_STORE
T00102-P002,2026-06-10,STORE-001,P002,26.0,18.0,0.0,IN_STORE
T00103-P002,2026-06-11,STORE-001,P002,29.0,18.0,0.0,IN_STORE
T00104-P002,2026-06-12,STORE-001,P002,24.0,18.0,0.0,IN_STORE
T00105-P002,2026-06-13,STORE-001,P002,42.0,18.0,0.0,IN_STORE
T00106-P002,2026-06-14,STORE-001,P002,26.0,18.0,0.0,IN_STORE
T00107-P002,2026-06-15,STORE-001,P002,27.0,18.0,0.0,IN_STORE
T00108-P002,2026-06-16,STORE-001,P002,36.0,18.0,0.0,IN_STORE
T00109-P002,2026-06-17,STORE-001,P002,25.0,18.0,0.0,IN_STORE
T00110-P002,2026-06-18,STORE-001,P002,24.0,18.0,0.0,IN_STORE
T00111-P002,2026-06-19,STORE-001,P002,27.0,18.0,0.0,IN_STORE
T00112-P002,2026-06-20,STORE-001,P002,30.0,18.0,0.0,IN_STORE
T00113-P002,2026-06-21,STORE-001,P002,27.0,18.0,0.0,IN_STORE
T00114-P002,2026-06-22,STORE-001,P002,27.0,18.0,0.0,IN_STORE
T00115-P002,2026-06-23,STORE-001,P002,25.0,18.0,0.0,IN_STORE
T00116-P002,2026-06-24,STORE-001,P002,23.0,18.0,0.0,IN_STORE
T00117-P002,2026-06-25,STORE-001,P002,28.0,18.0,0.0,IN_STORE
T00118-P002,2026-06-26,STORE-001,P002,29.0,18.0,0.0,IN_STORE
T00119-P002,2026-06-27,STORE-001,P002,38.0,18.0,0.0,IN_STORE
T00120-P002,2026-06-28,STORE-001,P002,35.0,18.0,0.0,IN_STORE
T00121-P002,2026-06-29,STORE-001,P002,25.0,18.0,0.0,IN_STORE
T00122-P002,2026-06-30,STORE-001,P002,26.0,18.0,0.0,IN_STORE
T00123-P002,2026-07-01,STORE-001,P002,27.0,18.0,0.0,IN_STORE
T00124-P002,2026-07-02,STORE-001,P002,28.0,18.0,0.0,IN_STORE
T00125-P002,2026-07-03,STORE-001,P002,28.0,18.0,0.0,IN_STORE
T00126-P002,2026-07-04,STORE-001,P002,32.0,18.0,0.0,IN_STORE
T00127-P002,2026-07-05,STORE-001,P002,33.0,18.0,0.0,IN_STORE
T00128-P002,2026-07-06,STORE-001,P002,23.0,18.0,0.0,IN_STORE
T00129-P002,2026-07-07,STORE-001,P002,26.0,18.0,0.0,IN_STORE
T00130-P002,2026-07-08,STORE-001,P002,25.0,18.0,0.0,IN_STORE
T00131-P002,2026-07-09,STORE-001,P002,26.0,18.0,0.0,IN_STORE
T00132-P002,2026-07-10,STORE-001,P002,32.0,18.0,0.0,IN_STORE
T00133-P002,2026-07-11,STORE-001,P002,35.0,18.0,0.0,IN_STORE
T00134-P002,2026-07-12,STORE-001,P002,32.0,18.0,0.0,IN_STORE
T00135-P002,2026-07-13,STORE-001,P002,32.0,18.0,0.0,IN_STORE
T00136-P002,2026-07-14,STORE-001,P002,28.0,18.0,0.0,IN_STORE
T00137-P002,2026-07-15,STORE-001,P002,31.0,18.0,0.0,IN_STORE
T00138-P002,2026-07-16,STORE-001,P002,29.0,18.0,0.0,IN_STORE
T00139-P002,2026-07-17,STORE-001,P002,30.0,18.0,0.0,IN_STORE
T00140-P002,2026-07-18,STORE-001,P002,44.0,18.0,0.0,IN_STORE
T00141-P002,2026-07-19,STORE-001,P002,30.0,18.0,0.0,IN_STORE
T00142-P002,2026-07-20,STORE-001,P002,27.0,18.0,0.0,IN_STORE
T00143-P002,2026-07-21,STORE-001,P002,23.0,18.0,0.0,IN_STORE
T00144-P002,2026-07-22,STORE-001,P002,31.0,18.0,0.0,IN_STORE
T00145-P002,2026-07-23,STORE-001,P002,24.0,18.0,0.0,IN_STORE
T00146-P002,2026-07-24,STORE-001,P002,25.0,18.0,0.0,IN_STORE
T00147-P002,2026-07-25,STORE-001,P002,37.0,18.0,0.0,IN_STORE
T00148-P002,2026-07-26,STORE-001,P002,32.0,18.0,0.0,IN_STORE
T00149-P002,2026-07-27,STORE-001,P002,30.0,18.0,0.0,IN_STORE
T00150-P002,2026-07-28,STORE-001,P002,30.0,18.0,0.0,IN_STORE
T00151-P002,2026-07-29,STORE-001,P002,29.0,18.0,0.0,IN_STORE
